Name,Type
LICENSE,File
netlify.toml,File
README.md,File
theme.toml,File
archetypes,Folder
default.md,File

assets,Folder
css,Folder
style.css,File

js,Folder
script.js,File


style.css,File

script.js,File

exampleSite,Folder
.hugo_build.lock,File
config.toml,File
netlify.toml,File
content,Folder
about,Folder
_index.en.md,File
_index.fr.md,File

blog,Folder
are-you-doing-the-right-way.en.md,File
are-you-doing-the-right-way.fr.md,File
blog-photos-on-phone.en.md,File
blog-photos-on-phone.md,File
installation.md,File
something-i-need-to-tell-you.md,File
ten-things-about-business.md,File
the-nourish-box-august.md,File
this-show-has-divided.md,File
why-you-need-a-statement-bag-this-season.md,File
_index.en.md,File
_index.fr.md,File

contact,Folder
_index.en.md,File
_index.fr.md,File

portfolio,Folder
_index.en.md,File
_index.fr.md,File

service,Folder
_index.en.md,File
_index.fr.md,File


_index.en.md,File
_index.fr.md,File

are-you-doing-the-right-way.en.md,File
are-you-doing-the-right-way.fr.md,File
blog-photos-on-phone.en.md,File
blog-photos-on-phone.md,File
installation.md,File
something-i-need-to-tell-you.md,File
ten-things-about-business.md,File
the-nourish-box-august.md,File
this-show-has-divided.md,File
why-you-need-a-statement-bag-this-season.md,File
_index.en.md,File
_index.fr.md,File

_index.en.md,File
_index.fr.md,File

_index.en.md,File
_index.fr.md,File

_index.en.md,File
_index.fr.md,File

data,Folder
en,Folder
about.yml,File
clients.yml,File
feature.yml,File
philosophy.yml,File
portfolio.yml,File
pricing.yml,File
service.yml,File
team.yml,File
testimonial.yml,File
workingprocess.yml,File

fr,Folder
about.yml,File
clients.yml,File
feature.yml,File
philosophy.yml,File
portfolio.yml,File
pricing.yml,File
service.yml,File
team.yml,File
testimonial.yml,File
workingprocess.yml,File


about.yml,File
clients.yml,File
feature.yml,File
philosophy.yml,File
portfolio.yml,File
pricing.yml,File
service.yml,File
team.yml,File
testimonial.yml,File
workingprocess.yml,File

about.yml,File
clients.yml,File
feature.yml,File
philosophy.yml,File
portfolio.yml,File
pricing.yml,File
service.yml,File
team.yml,File
testimonial.yml,File
workingprocess.yml,File

i18n,Folder
en.toml,File
fr.toml,File

static,Folder
images,Folder
favicon.ico,File
favicon.png,File
logo.png,File
marker.png,File
pricing-bg.jpg,File
about,Folder
about-1.jpg,File
about-2.jpg,File
about-2.png,File
about-header.jpg,File
member.jpg,File

blog,Folder
post-1.jpg,File
post-2.jpg,File
post-3.jpg,File

call-to-action,Folder
call-to-action-bg-2.jpg,File
call-to-action-bg.jpg,File

client-logo,Folder
clients-1.jpg,File
clients-2.jpg,File
logo-2.png,File
logo-3.png,File
logo-4.png,File
logo-5.png,File
logo1.png,File

company,Folder
company-image-2.jpg,File
company-image-3.jpg,File
company-image.jpg,File

logos,Folder
lang-de.gif,File
lang-en.gif,File
lang-fr.gif,File
lang-nl.gif,File

portfolio,Folder
portfolio-1.jpg,File
portfolio-2.jpg,File
portfolio-3.jpg,File
portfolio-4.jpg,File
portfolio-5.jpg,File
portfolio-6.jpg,File
portfolio-7.jpg,File
portfolio-8.jpg,File

slider,Folder
video-player-thumb.jpg,File

team,Folder
member-1.jpg,File
member-2.jpg,File
member-3.jpg,File
member-4.jpg,File


about-1.jpg,File
about-2.jpg,File
about-2.png,File
about-header.jpg,File
member.jpg,File

post-1.jpg,File
post-2.jpg,File
post-3.jpg,File

call-to-action-bg-2.jpg,File
call-to-action-bg.jpg,File

clients-1.jpg,File
clients-2.jpg,File
logo-2.png,File
logo-3.png,File
logo-4.png,File
logo-5.png,File
logo1.png,File

company-image-2.jpg,File
company-image-3.jpg,File
company-image.jpg,File

lang-de.gif,File
lang-en.gif,File
lang-fr.gif,File
lang-nl.gif,File

portfolio-1.jpg,File
portfolio-2.jpg,File
portfolio-3.jpg,File
portfolio-4.jpg,File
portfolio-5.jpg,File
portfolio-6.jpg,File
portfolio-7.jpg,File
portfolio-8.jpg,File

video-player-thumb.jpg,File

member-1.jpg,File
